fold,seed,float_auroc,qat_auroc,akida_auroc,float_auroc_inner,float_auroc_outer,float_auroc_ball,float_auroc_cage,akida_auroc_inner,akida_auroc_outer,akida_auroc_ball,akida_auroc_cage,params,n_train_windows,n_test_windows,seconds
5,0,0.979125,0.967891,0.966000,0.999625,0.970875,0.957875,0.988125,0.996313,0.933688,0.935250,0.998750,335444,720,240,23.8
6,0,0.932438,0.926438,0.926406,0.988750,1.000000,0.995750,0.745250,0.986250,0.999875,0.992750,0.726750,335444,720,240,20.9
7,0,0.850781,0.859094,0.858578,0.988750,0.894500,0.793875,0.726000,0.989375,0.864688,0.831750,0.748500,335444,720,240,20.4
8,0,0.882875,0.894594,0.897125,0.914250,0.989500,0.984625,0.643125,0.947187,0.895500,0.988750,0.757062,335444,720,240,20.7
9,0,0.932313,0.959172,0.960812,0.972250,0.960750,0.997375,0.798875,0.984750,0.951875,0.996125,0.910500,335444,720,240,21.0
10,0,0.862469,0.881625,0.882266,0.943125,0.897750,0.965750,0.643250,0.949250,0.911375,0.952813,0.715625,335444,720,240,20.1
11,0,0.843313,0.794547,0.793922,0.920625,0.951500,0.986250,0.514875,0.908563,0.914438,0.981875,0.370812,335444,720,240,20.6
12,0,0.880750,0.918297,0.919672,0.949000,1.000000,0.918875,0.655125,0.955375,0.998125,0.961688,0.763500,335444,720,240,20.2
13,0,0.885594,0.867422,0.868688,0.945125,0.957250,0.972375,0.667625,0.935125,0.943375,0.960812,0.635437,335444,720,240,20.2
14,0,0.934594,0.931766,0.935609,0.993250,0.934125,0.951000,0.860000,0.988125,0.925812,0.948875,0.879625,335444,720,240,20.6
15,0,0.811937,0.774172,0.773297,0.910250,1.000000,0.925875,0.411625,0.904563,1.000000,0.914500,0.274125,335444,720,240,20.2
16,0,0.841656,0.829406,0.828625,0.926375,0.994625,0.985000,0.460625,0.931812,0.988000,0.982625,0.412062,335444,720,240,20.2
17,0,0.877969,0.866922,0.865719,0.927625,0.982750,0.969375,0.632125,0.937125,0.944750,0.991875,0.589125,335444,720,240,20.6
18,0,0.849938,0.813516,0.819438,0.928250,1.000000,0.999250,0.472250,0.937937,0.998500,0.985750,0.355563,335444,720,240,20.2
19,0,0.913594,0.888219,0.896406,0.990875,0.995375,0.933125,0.735000,0.990438,0.995500,0.889437,0.710250,335444,720,240,20.1
20,0,0.955844,0.973375,0.976031,0.999375,0.933750,0.958125,0.932125,0.999250,0.947063,0.971625,0.986187,335444,720,240,20.7
21,0,0.963094,0.951156,0.950563,0.995750,0.995125,0.985500,0.876000,0.994000,0.992563,0.991000,0.824688,335444,720,240,20.3
22,0,0.887844,0.919125,0.919766,0.990500,0.901250,0.881000,0.778625,0.990250,0.952750,0.871125,0.864938,335444,720,240,20.8
23,0,0.876187,0.904187,0.899844,0.939625,1.000000,0.978125,0.587000,0.940562,0.998750,0.985313,0.674750,335444,720,240,20.2
24,0,0.938312,0.936922,0.938719,0.986875,1.000000,0.973625,0.792750,0.986000,0.999875,0.985750,0.783250,335444,720,240,20.7
25,0,0.792750,0.800828,0.798906,0.954250,0.938500,0.902875,0.375375,0.975000,0.956688,0.932000,0.331937,335444,720,240,20.2
26,0,0.970656,0.981297,0.984141,0.999875,1.000000,0.994375,0.888375,0.999125,0.989500,0.984500,0.963437,335444,720,240,20.2
27,0,0.895281,0.910016,0.908906,0.988875,1.000000,0.964375,0.627875,0.989187,0.996875,0.963000,0.686562,335444,720,240,20.1
28,0,0.954750,0.933781,0.926016,0.994000,0.997375,0.978875,0.848750,0.994000,0.998500,0.933062,0.778500,335444,720,240,20.9
29,0,0.948406,0.935656,0.939234,1.000000,0.844875,0.951250,0.997500,0.998125,0.816688,0.945750,0.996375,335444,720,240,20.2
30,0,0.867687,0.850797,0.850141,0.935500,0.989375,0.973500,0.572375,0.931000,0.979812,0.965438,0.524312,335444,720,240,20.2
31,0,0.924531,0.922141,0.912797,0.988750,0.984875,0.931000,0.793500,0.987875,0.984625,0.902938,0.775750,335444,720,240,20.3
32,0,0.949437,0.950031,0.949594,0.998750,0.999250,0.893125,0.906625,0.997250,0.965500,0.915937,0.919687,335444,720,240,20.1
33,0,0.817406,0.797625,0.794562,0.907500,0.992000,0.946375,0.423750,0.929063,0.993125,0.939125,0.316937,335444,720,240,21.0
34,0,0.826187,0.817078,0.816734,0.925750,0.969875,0.984250,0.424875,0.926500,0.961063,0.977750,0.401625,335444,720,240,20.3
35,0,0.923812,0.922609,0.914281,0.990625,1.000000,0.905000,0.799625,0.990500,0.977187,0.905875,0.783563,335444,720,240,20.7
36,0,0.856906,0.864906,0.870109,0.950750,0.986750,0.954500,0.535625,0.952500,0.986000,0.959062,0.582875,335444,720,240,20.2
37,0,0.736344,0.742844,0.741734,0.898875,0.998750,0.889750,0.158000,0.892375,0.999375,0.898375,0.176812,335444,720,240,20.7
38,0,0.879063,0.862219,0.863937,0.931750,0.996625,0.979000,0.608875,0.930125,0.995625,0.973375,0.556625,335444,720,240,21.1
39,0,0.885344,0.909937,0.911594,0.929000,0.996000,0.973500,0.642875,0.945063,0.933437,0.982812,0.785063,335444,720,240,20.3
40,0,0.882375,0.846641,0.843406,0.947125,0.912625,0.965750,0.704000,0.957125,0.783688,0.958125,0.674687,335444,720,240,20.2
41,0,0.934656,0.941109,0.940469,0.988750,0.990000,0.911125,0.848750,0.987562,0.980687,0.899812,0.893813,335444,720,240,20.2
42,0,0.902969,0.893516,0.892766,0.943750,0.994500,0.993375,0.680250,0.942625,0.996000,1.000000,0.632437,335444,720,240,20.2
43,0,0.936063,0.888469,0.894266,0.996375,0.886750,0.928375,0.932750,0.973875,0.833625,0.800937,0.968625,335444,720,240,20.7
44,0,0.838187,0.814359,0.808875,0.912750,0.858000,0.906125,0.675875,0.916188,0.835813,0.832000,0.651500,335444,720,240,21.1
45,0,0.952437,0.951875,0.948641,0.999000,0.905000,0.907875,0.997875,0.996125,0.897625,0.920687,0.980125,335444,720,240,20.3
46,0,0.929187,0.939875,0.941188,0.928750,1.000000,0.978875,0.809125,0.946937,0.998938,0.987250,0.831625,335444,720,240,20.2
47,0,0.866625,0.879703,0.877047,0.920500,0.931375,0.969625,0.645000,0.922312,0.932500,0.950562,0.702812,335444,720,240,20.2
48,0,0.931063,0.934734,0.936266,0.992875,0.987500,0.986500,0.757375,0.994125,0.979375,0.995687,0.775875,335444,720,240,20.1
49,0,0.940344,0.927766,0.935359,0.992375,0.999125,0.880125,0.889750,0.991000,0.999375,0.846250,0.904812,335444,720,240,20.2
50,0,0.974938,0.973281,0.974781,0.997750,0.999875,0.908750,0.993375,0.993875,0.992000,0.924750,0.988500,335444,720,240,21.2
51,0,0.916438,0.907563,0.911000,0.984625,0.989000,0.981625,0.710500,0.983313,0.996437,0.975688,0.688562,335444,720,240,20.2
52,0,0.860906,0.878031,0.879344,0.922875,1.000000,0.980250,0.540500,0.923500,0.990875,0.988688,0.614313,335444,720,240,20.2
53,0,0.835906,0.822797,0.827000,0.940375,0.997750,0.975250,0.430250,0.936875,0.987563,0.957375,0.426187,335444,720,240,20.8
54,0,0.991250,0.988734,0.989219,0.999125,0.990250,0.985500,0.990125,0.998500,0.974875,0.987625,0.995875,335444,720,240,20.8
55,0,0.734531,0.706812,0.698906,0.974625,0.998625,0.747750,0.217125,0.971063,0.983625,0.726437,0.114500,335444,720,240,20.3
56,0,0.971906,0.967672,0.969375,0.998625,1.000000,0.922500,0.966500,0.995750,0.998750,0.919188,0.963813,335444,720,240,20.2
57,0,0.916750,0.912344,0.916203,0.990000,0.940625,0.936250,0.800125,0.987687,0.934312,0.967375,0.775438,335444,720,240,20.2
58,0,0.939813,0.928781,0.934516,0.996875,0.891375,0.881750,0.989250,0.993250,0.917375,0.845375,0.982062,335444,720,240,21.6
59,0,0.787063,0.754531,0.753016,0.952750,0.972500,0.906375,0.316625,0.957188,0.971125,0.912438,0.171312,335444,720,240,20.3
60,0,0.887375,0.946578,0.946125,0.934000,0.994750,0.972500,0.648250,0.970625,0.996750,0.961125,0.856000,335444,720,240,20.8
61,0,0.953625,0.976094,0.976234,0.997875,0.988875,0.964875,0.862875,0.998625,0.996125,0.958000,0.952187,335444,720,240,20.3
62,0,0.884062,0.909625,0.903906,0.990125,0.935625,0.864875,0.745625,0.989000,0.942500,0.859062,0.825063,335444,720,240,20.2
63,0,0.959406,0.948375,0.951734,0.988250,0.957250,0.904375,0.987750,0.971375,0.957250,0.915875,0.962437,335444,720,240,20.2
64,0,0.863844,0.854703,0.850344,0.944750,0.987250,0.989750,0.533625,0.971000,0.901188,0.988375,0.540812,335444,720,240,20.7
65,0,0.919437,0.921109,0.916313,0.989500,0.959625,0.997375,0.731250,0.991812,0.952188,0.996500,0.724750,335444,720,240,20.3
66,0,0.715063,0.698906,0.700969,0.923375,0.951125,0.884625,0.101125,0.927250,0.943812,0.882938,0.049875,335444,720,240,21.6
67,0,0.974844,0.966859,0.966062,0.998250,0.992125,0.925250,0.983750,0.994062,0.967313,0.922312,0.980563,335444,720,240,20.7
68,0,0.917719,0.902469,0.900094,0.993000,0.954875,0.964500,0.758500,0.994250,0.933937,0.964875,0.707313,335444,720,240,20.7
69,0,0.899969,0.894016,0.899422,0.991625,0.983375,0.900125,0.724750,0.987812,0.978313,0.883687,0.747875,335444,720,240,20.7
70,0,0.921656,0.922984,0.928984,1.000000,0.965375,0.844500,0.876750,0.999500,0.956000,0.860937,0.899500,335444,720,240,20.2
71,0,0.932594,0.910281,0.910547,0.998625,0.996125,0.899875,0.835750,0.997375,0.970125,0.903375,0.771313,335444,720,240,20.2
72,0,0.893781,0.883547,0.881062,0.958625,1.000000,0.986625,0.629875,0.956250,0.984688,0.987437,0.595875,335444,720,240,20.2
73,0,0.844094,0.833828,0.836656,0.902375,0.958250,0.981875,0.533875,0.902375,0.924875,0.979437,0.539938,335444,720,240,20.2
74,0,0.851656,0.847391,0.851844,0.957000,0.941125,0.963250,0.545250,0.958500,0.918687,0.978000,0.552187,335444,720,240,20.2
75,0,0.903875,0.882203,0.895359,0.991000,0.994500,0.905875,0.724125,0.989250,0.896875,0.915875,0.779438,335444,720,240,22.3
76,0,0.914219,0.912469,0.911000,0.991125,0.991375,0.971125,0.703250,0.985313,0.993875,0.971187,0.693625,335444,720,240,20.8
77,0,0.976406,0.983969,0.983797,0.999750,0.967375,0.997375,0.941125,0.999375,0.967187,0.998500,0.970125,335444,720,240,20.2
78,0,0.877719,0.856625,0.849391,0.928000,0.903750,0.927125,0.752000,0.929500,0.879938,0.835250,0.752875,335444,720,240,20.3
79,0,0.940844,0.911687,0.915250,0.977625,1.000000,0.970375,0.815375,0.973875,0.993375,0.968625,0.725125,335444,720,240,20.3
80,0,0.760531,0.767922,0.765781,0.907375,0.959000,0.919875,0.255875,0.904000,0.940187,0.912500,0.306438,335444,720,240,20.2
81,0,0.921969,0.922672,0.921375,0.987375,1.000000,0.967000,0.733500,0.987000,0.990125,0.968750,0.739625,335444,720,240,20.2
82,0,0.866969,0.897500,0.891516,0.942000,0.997000,0.982750,0.546125,0.940625,0.989812,0.988375,0.647250,335444,720,240,20.2
83,0,0.894688,0.889031,0.884266,0.991625,0.940750,0.956625,0.689750,0.990750,0.891687,0.964812,0.689813,335444,720,240,20.1
84,0,0.907594,0.911594,0.906266,0.988875,0.931750,0.962625,0.747125,0.980187,0.927188,0.939937,0.777750,335444,720,240,20.2
85,0,0.900469,0.950688,0.947953,0.936625,1.000000,0.994125,0.671125,0.950187,0.996375,0.998062,0.847187,335444,720,240,22.0
86,0,0.911438,0.918641,0.920641,0.988125,0.956750,0.932875,0.768000,0.983250,0.962813,0.928000,0.808500,335444,720,240,20.3
87,0,0.906969,0.926219,0.926625,0.976625,0.994625,0.960375,0.696250,0.969500,0.999375,0.950438,0.787188,335444,720,240,20.3
88,0,0.861594,0.915984,0.916703,0.902750,0.987125,0.965250,0.591250,0.922813,0.987437,0.981812,0.774750,335444,720,240,20.8
89,0,0.876250,0.886719,0.887969,0.921125,1.000000,0.970875,0.613000,0.923125,0.997563,0.972375,0.658813,335444,720,240,20.7
90,0,0.933250,0.933844,0.929688,0.989625,0.987250,0.989000,0.767125,0.988875,0.982000,0.953875,0.794000,335444,720,240,20.3
