fold,seed,float_auroc,qat_auroc,akida_auroc,float_auroc_inner,float_auroc_outer,float_auroc_ball,float_auroc_cage,akida_auroc_inner,akida_auroc_outer,akida_auroc_ball,akida_auroc_cage,params,n_train_windows,n_test_windows,seconds
5,0,0.979125,0.967891,0.966000,0.999625,0.970875,0.957875,0.988125,0.996313,0.933688,0.935250,0.998750,335444,720,240,23.8
5,1,0.946406,0.959844,0.964406,0.998500,0.874125,0.927375,0.985625,0.995250,0.912687,0.954812,0.994875,335444,720,240,20.6
5,2,0.980594,0.974578,0.976813,0.999875,0.956125,0.975250,0.991125,0.998563,0.941125,0.973375,0.994188,335444,720,240,20.8
6,0,0.932438,0.926438,0.926406,0.988750,1.000000,0.995750,0.745250,0.986250,0.999875,0.992750,0.726750,335444,720,240,20.2
6,1,0.943250,0.931000,0.932812,0.986625,1.000000,1.000000,0.786375,0.986000,0.987625,0.995750,0.761875,335444,720,240,20.5
6,2,0.937000,0.929797,0.928156,0.991500,0.997875,0.922750,0.835875,0.991500,0.997375,0.891688,0.832062,335444,720,240,20.1
7,0,0.850781,0.859094,0.858578,0.988750,0.894500,0.793875,0.726000,0.989375,0.864688,0.831750,0.748500,335444,720,240,20.5
7,1,0.861219,0.865828,0.866703,0.991625,0.941375,0.770375,0.741500,0.995250,0.930937,0.785062,0.755563,335444,720,240,20.2
7,2,0.892188,0.881828,0.881984,0.989000,0.971500,0.873250,0.735000,0.991875,0.976000,0.794937,0.765125,335444,720,240,20.2
8,0,0.882875,0.894594,0.897125,0.914250,0.989500,0.984625,0.643125,0.947187,0.895500,0.988750,0.757062,335444,720,240,21.2
8,1,0.927125,0.900172,0.901672,0.945750,0.980125,0.998000,0.784625,0.937125,0.967562,0.990563,0.711438,335444,720,240,20.3
8,2,0.933125,0.920063,0.921094,0.946375,0.916500,0.929250,0.940375,0.938125,0.912375,0.973750,0.860125,335444,720,240,20.7
9,0,0.932313,0.959172,0.960812,0.972250,0.960750,0.997375,0.798875,0.984750,0.951875,0.996125,0.910500,335444,720,240,20.6
9,1,0.976125,0.948141,0.946578,0.989750,0.947250,0.999125,0.968375,0.983000,0.913375,0.997437,0.892500,335444,720,240,20.2
9,2,0.975875,0.971734,0.972766,0.980375,0.926875,0.996875,0.999375,0.986000,0.935125,0.994063,0.975875,335444,720,240,20.7
10,0,0.862469,0.881625,0.882266,0.943125,0.897750,0.965750,0.643250,0.949250,0.911375,0.952813,0.715625,335444,720,240,21.3
10,1,0.850281,0.835594,0.833234,0.965500,0.799375,0.759875,0.876375,0.948813,0.868000,0.722437,0.793688,335444,720,240,20.2
10,2,0.931312,0.920687,0.922469,0.952750,0.974625,0.832750,0.965125,0.967313,0.977125,0.951812,0.793625,335444,720,240,20.2
11,0,0.843313,0.794547,0.793922,0.920625,0.951500,0.986250,0.514875,0.908563,0.914438,0.981875,0.370812,335444,720,240,20.2
11,1,0.900719,0.824562,0.827266,0.924875,0.972375,0.992625,0.713000,0.924000,0.945875,0.991625,0.447563,335444,720,240,21.0
11,2,0.856375,0.840063,0.837984,0.916750,0.941375,0.950500,0.616875,0.916750,0.936312,0.972625,0.526250,335444,720,240,20.2
12,0,0.880750,0.918297,0.919672,0.949000,1.000000,0.918875,0.655125,0.955375,0.998125,0.961688,0.763500,335444,720,240,20.3
12,1,0.957219,0.926156,0.929641,0.999500,1.000000,0.922125,0.907250,0.992312,0.984688,0.972750,0.768813,335444,720,240,20.2
12,2,0.978125,0.961562,0.956906,0.988750,1.000000,0.953875,0.969875,0.989125,0.999312,0.918375,0.920812,335444,720,240,20.9
13,0,0.885594,0.867422,0.868688,0.945125,0.957250,0.972375,0.667625,0.935125,0.943375,0.960812,0.635437,335444,720,240,20.3
13,1,0.891469,0.839375,0.842906,0.968875,0.927500,0.827000,0.842500,0.940000,0.953063,0.778188,0.700375,335444,720,240,20.7
13,2,0.953219,0.942297,0.942109,0.992125,0.958000,0.911250,0.951500,0.990500,0.966625,0.908687,0.902625,335444,720,240,20.8
14,0,0.934594,0.931766,0.935609,0.993250,0.934125,0.951000,0.860000,0.988125,0.925812,0.948875,0.879625,335444,720,240,20.8
14,1,0.912562,0.897922,0.906141,0.990875,0.971375,0.857875,0.830125,0.992625,0.959125,0.846000,0.826812,335444,720,240,21.5
14,2,0.934344,0.929578,0.936813,0.995000,0.993750,0.872375,0.876250,0.997000,0.985125,0.875250,0.889875,335444,720,240,20.3
15,0,0.811937,0.774172,0.773297,0.910250,1.000000,0.925875,0.411625,0.904563,1.000000,0.914500,0.274125,335444,720,240,20.8
15,1,0.804438,0.801859,0.800844,0.920625,1.000000,0.930500,0.366625,0.918000,1.000000,0.951375,0.334000,335444,720,240,20.3
15,2,0.830594,0.770281,0.765828,0.919750,0.993125,0.908500,0.501000,0.918500,0.995250,0.803750,0.345813,335444,720,240,20.2
16,0,0.841656,0.829406,0.828625,0.926375,0.994625,0.985000,0.460625,0.931812,0.988000,0.982625,0.412062,335444,720,240,21.1
16,1,0.864562,0.818828,0.815672,0.927875,0.975000,0.996625,0.558750,0.919500,0.975000,0.995000,0.373188,335444,720,240,20.3
16,2,0.857719,0.852500,0.851453,0.910250,0.988750,0.973875,0.558000,0.907000,0.976750,0.987313,0.534750,335444,720,240,20.8
17,0,0.877969,0.866922,0.865719,0.927625,0.982750,0.969375,0.632125,0.937125,0.944750,0.991875,0.589125,335444,720,240,20.8
17,1,0.893437,0.817438,0.818359,0.924500,0.998750,0.996000,0.654500,0.917625,0.977750,0.992500,0.385562,335444,720,240,20.3
17,2,0.895312,0.863078,0.863328,0.916125,0.954500,0.961375,0.749250,0.917125,0.931688,0.965625,0.638875,335444,720,240,20.2
18,0,0.849938,0.813516,0.819438,0.928250,1.000000,0.999250,0.472250,0.937937,0.998500,0.985750,0.355563,335444,720,240,21.1
18,1,0.891937,0.849562,0.850281,0.934375,0.997000,0.970000,0.666375,0.942500,0.999625,0.939625,0.519375,335444,720,240,20.8
18,2,0.876594,0.837953,0.847953,0.923625,1.000000,0.991000,0.591750,0.923000,0.994812,0.985750,0.488250,335444,720,240,20.2
19,0,0.913594,0.888219,0.896406,0.990875,0.995375,0.933125,0.735000,0.990438,0.995500,0.889437,0.710250,335444,720,240,20.8
19,1,0.865406,0.875297,0.875391,0.994500,0.890125,0.875500,0.701500,0.995375,0.959500,0.845813,0.700875,335444,720,240,20.2
19,2,0.896656,0.909844,0.908078,0.991375,0.959625,0.944000,0.691625,0.993187,0.933625,0.927687,0.777812,335444,720,240,20.8
20,0,0.955844,0.973375,0.976031,0.999375,0.933750,0.958125,0.932125,0.999250,0.947063,0.971625,0.986187,335444,720,240,21.4
20,1,0.957781,0.931953,0.936922,0.993125,0.941125,0.994125,0.902750,0.986125,0.944625,0.990125,0.826812,335444,720,240,20.3
20,2,0.932000,0.921672,0.927625,0.999875,0.910750,0.963375,0.854000,0.999500,0.934500,0.944375,0.832125,335444,720,240,20.8
21,0,0.963094,0.951156,0.950563,0.995750,0.995125,0.985500,0.876000,0.994000,0.992563,0.991000,0.824688,335444,720,240,20.3
21,1,0.929063,0.945109,0.940344,0.992875,0.999875,0.968375,0.755125,0.994375,0.994563,0.965938,0.806500,335444,720,240,20.3
21,2,0.926375,0.960391,0.960969,0.994375,0.976500,0.972125,0.762500,0.995875,0.990875,0.959125,0.898000,335444,720,240,20.7
22,0,0.887844,0.919125,0.919766,0.990500,0.901250,0.881000,0.778625,0.990250,0.952750,0.871125,0.864938,335444,720,240,20.7
